Date,Open,High,Low,Close,Adj Close,Volume
2018-12-26,647.0,647.0,637.3499755859375,644.0499877929688,549.2064819335938,6178552
2018-12-27,652.75,663.25,649.0,656.7999877929688,560.0789794921875,15333902
2018-12-28,663.3499755859375,663.5,653.2999877929688,656.9500122070312,560.2068481445312,4736598
2018-12-31,660.0,662.0,655.7999877929688,658.9500122070312,561.9122924804688,3373319
2019-01-01,660.9500122070312,666.2999877929688,654.1500244140625,665.0499877929688,567.1139526367188,2943390
2019-01-02,666.0,674.0,662.0499877929688,669.0499877929688,570.5249633789062,7416655
2019-01-03,672.0,677.0,663.0999755859375,669.1500244140625,570.6103515625,6827249
2019-01-04,671.75,673.9000244140625,651.0,661.0499877929688,563.7029418945312,7889310
2019-01-07,665.0,673.5999755859375,661.5,671.7000122070312,572.7847290039062,8046340
2019-01-08,674.9500122070312,677.4500122070312,668.5499877929688,670.0499877929688,571.377685546875,8621545
2019-01-09,686.2000122070312,689.7999877929688,664.0,676.0999755859375,576.5368041992188,18130292
2019-01-10,681.5999755859375,682.0,672.5499877929688,679.7000122070312,579.6067504882812,9572493
2019-01-11,680.2000122070312,685.5,672.5,683.5,582.8469848632812,12281903
2019-01-14,707.0,710.2000122070312,695.9500122070312,701.9000244140625,598.5375366210938,19312937
2019-01-15,707.2000122070312,730.0,707.2000122070312,726.5999755859375,619.6001586914062,19671304
2019-01-16,729.9000244140625,737.7999877929688,728.5,736.7999877929688,628.298095703125,9658944
2019-01-17,735.7999877929688,739.0,729.0999755859375,733.3499755859375,625.3561401367188,6903771
2019-01-18,730.0,736.2000122070312,726.2999877929688,730.9500122070312,623.3095092773438,5902151
2019-01-21,738.2000122070312,751.0,734.0,745.0,635.29052734375,8129422
2019-01-22,741.25,749.0,734.0,745.3499755859375,635.5889892578125,6723375
2019-01-23,742.3499755859375,742.5999755859375,729.2000122070312,731.6500244140625,623.9063720703125,7212099
2019-01-24,728.0999755859375,736.0999755859375,721.0,732.0,627.63623046875,7429783
2019-01-25,728.0,737.9000244140625,724.25,730.3499755859375,626.2214965820312,5543112
2019-01-28,731.0,732.5999755859375,719.0,727.9500122070312,624.1636352539062,7944693
2019-01-29,725.5,732.8499755859375,716.5,727.9000244140625,624.120849609375,6760819
2019-01-30,727.9000244140625,734.7999877929688,721.0999755859375,725.9000244140625,622.406005859375,5763026
2019-01-31,726.0,751.2999877929688,726.0,749.5499877929688,642.6841430664062,13825233
2019-02-01,751.3499755859375,762.5,744.5,757.0499877929688,649.1148071289062,6276585
2019-02-04,757.0,762.5,749.2000122070312,755.9000244140625,648.1287231445312,3945391
2019-02-05,747.0,759.9500122070312,747.0,754.8499755859375,647.2284545898438,4694366
2019-02-06,755.5499877929688,766.9500122070312,754.3499755859375,763.2999877929688,654.4736938476562,5880482
2019-02-07,763.0499877929688,769.4500122070312,761.0,764.0,655.0738525390625,3961797
2019-02-08,760.0,772.25,754.9000244140625,760.9000244140625,652.4158935546875,5915169
2019-02-11,766.9000244140625,768.75,759.0,762.7999877929688,654.044921875,5500216
2019-02-12,760.3499755859375,760.3499755859375,741.0,750.4500122070312,643.4556884765625,7310690
2019-02-14,751.0,753.0,737.25,740.0499877929688,634.5383911132812,4610535
2019-02-15,742.2999877929688,746.5,732.5999755859375,741.9500122070312,636.167724609375,5586389
2019-02-18,742.3499755859375,747.6500244140625,736.0,741.0499877929688,635.3959350585938,5346825
2019-02-19,739.0999755859375,740.5499877929688,721.2999877929688,724.2999877929688,621.0341186523438,9401334
2019-02-20,727.0,743.0,726.0499877929688,740.7000122070312,635.0958251953125,5210675
2019-02-21,738.0,738.0,727.0999755859375,733.4500122070312,628.8795166015625,7202786
2019-02-22,732.5,738.2000122070312,728.0,734.9500122070312,630.1658325195312,3750833
2019-02-25,735.5499877929688,758.0,735.5499877929688,754.9000244140625,647.2713012695312,6547552
2019-02-26,748.5999755859375,752.5999755859375,740.1500244140625,742.5,636.63916015625,8319610
2019-02-27,745.0,746.4000244140625,732.75,735.25,630.4229125976562,5936354
2019-02-28,738.7000122070312,742.4000244140625,732.2999877929688,734.2999877929688,629.6082763671875,8559921
